Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2014,Total,Total,Total,Total,Total,Total,Total,Construction,Total,14.7,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Construction,Total,15.4,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Construction,Total,15.4,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Construction,Total,16.1,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Construction,Total,15.6,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.1,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.2,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.5,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.5,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.5,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.3,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.2,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Wholesale trade,Total,3.2,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.3,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.2,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.4,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.6,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.4,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.3,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Retail trade,Total,6.1,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,3.6,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,3.7,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,3.9,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.4,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.4,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.4,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.4,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.5,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.4,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Accommodation and food services,Total,4.3,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,4.5,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,4.6,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,4.6,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,4.9,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5.1,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Transport postal and warehousing,Total,5.2,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.6,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.6,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.4,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.3,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.3,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.3,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.3,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.3,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Information media and telecommunications,Total,0.2,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.5,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Financial and insurance services,Total,0.4,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.3,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.4,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.6,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.7,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.6,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.6,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.6,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.6,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Rental hiring and real estate services,Total,1.7,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,1.9,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.2,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.4,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.4,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.4,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.3,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.3,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Professional scientific and technical services,Total,2.2,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.4,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.4,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.6,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.5,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.5,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.6,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Administrative and support services,Total,1.6,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.7,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.6,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.8,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.4,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.6,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.5,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Public administration and safety,Total,3.6,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,3.9,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.8,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.5,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.7,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.6,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Education and training,Total,4.4,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,4.8,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.7,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.7,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.8,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.9,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.9,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Health care and social assistance,Total,5.9,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.1,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.1,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.5,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.5,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.2,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.2,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.2,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,3.1,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Arts and recreation services,Total,2.8,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.2,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.2,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.6,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.6,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.5,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.5,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Other services,Total,3.4,Percentage of all claims,Provisional
2009,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,16.2,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,15.9,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,14.3,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,7.4,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,7.9,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,9.3,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,8.9,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,10,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,9.5,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Total,Total,Not specified,Total,11.6,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Total,Total,Total,Total,154,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,Total,Total,Total,Total,Total,Total,Total,Total,150,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,Total,Total,Total,Total,Total,Total,Total,Total,146,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,Total,Total,Total,Total,Total,Total,Total,Total,142,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,Total,Total,Total,Total,Total,Total,Total,Total,134,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,Total,Total,Total,Total,Total,Total,Total,Total,132,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,Total,Total,Total,Total,Total,Total,Total,Total,127,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,Total,Total,Total,Total,Total,Total,Total,Total,120,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,Total,Total,Total,Total,Total,Total,Total,Total,117,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,Total,Total,Total,Total,Total,Total,Total,Total,110,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,Total,Total,Total,Total,Total,Total,Total,Total,108,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,Total,Total,Total,Total,Total,Total,Total,Total,108,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,Total,Total,Total,Total,Total,Total,Total,Total,109,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,Total,Total,Total,Total,Total,Total,Total,Total,108,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,Total,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,Total,Total,Total,Total,Total,Total,Total,Total,102,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,Total,Total,Total,Total,Total,Total,Total,Total,102,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Male,Total,Total,Total,Total,Total,Total,Total,Total,199,Incidence rate per 1000 full-time equivalent employees,Final
2003,Male,Total,Total,Total,Total,Total,Total,Total,Total,194,Incidence rate per 1000 full-time equivalent employees,Final
2004,Male,Total,Total,Total,Total,Total,Total,Total,Total,190,Incidence rate per 1000 full-time equivalent employees,Final
2005,Male,Total,Total,Total,Total,Total,Total,Total,Total,185,Incidence rate per 1000 full-time equivalent employees,Final
2006,Male,Total,Total,Total,Total,Total,Total,Total,Total,172,Incidence rate per 1000 full-time equivalent employees,Final
2007,Male,Total,Total,Total,Total,Total,Total,Total,Total,170,Incidence rate per 1000 full-time equivalent employees,Final
2008,Male,Total,Total,Total,Total,Total,Total,Total,Total,164,Incidence rate per 1000 full-time equivalent employees,Final
2009,Male,Total,Total,Total,Total,Total,Total,Total,Total,155,Incidence rate per 1000 full-time equivalent employees,Final
2010,Male,Total,Total,Total,Total,Total,Total,Total,Total,151,Incidence rate per 1000 full-time equivalent employees,Final
2011,Male,Total,Total,Total,Total,Total,Total,Total,Total,141,Incidence rate per 1000 full-time equivalent employees,Final
2012,Male,Total,Total,Total,Total,Total,Total,Total,Total,139,Incidence rate per 1000 full-time equivalent employees,Final
2013,Male,Total,Total,Total,Total,Total,Total,Total,Total,139,Incidence rate per 1000 full-time equivalent employees,Final
2014,Male,Total,Total,Total,Total,Total,Total,Total,Total,140,Incidence rate per 1000 full-time equivalent employees,Final
2015,Male,Total,Total,Total,Total,Total,Total,Total,Total,137,Incidence rate per 1000 full-time equivalent employees,Final
2016,Male,Total,Total,Total,Total,Total,Total,Total,Total,133,Incidence rate per 1000 full-time equivalent employees,Final
2017,Male,Total,Total,Total,Total,Total,Total,Total,Total,129,Incidence rate per 1000 full-time equivalent employees,Final
2018,Male,Total,Total,Total,Total,Total,Total,Total,Total,128,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Female,Total,Total,Total,Total,Total,Total,Total,Total,92,Incidence rate per 1000 full-time equivalent employees,Final
2003,Female,Total,Total,Total,Total,Total,Total,Total,Total,89,Incidence rate per 1000 full-time equivalent employees,Final
2004,Female,Total,Total,Total,Total,Total,Total,Total,Total,86,Incidence rate per 1000 full-time equivalent employees,Final
2005,Female,Total,Total,Total,Total,Total,Total,Total,Total,84,Incidence rate per 1000 full-time equivalent employees,Final
2006,Female,Total,Total,Total,Total,Total,Total,Total,Total,83,Incidence rate per 1000 full-time equivalent employees,Final
2007,Female,Total,Total,Total,Total,Total,Total,Total,Total,82,Incidence rate per 1000 full-time equivalent employees,Final
2008,Female,Total,Total,Total,Total,Total,Total,Total,Total,80,Incidence rate per 1000 full-time equivalent employees,Final
2009,Female,Total,Total,Total,Total,Total,Total,Total,Total,76,Incidence rate per 1000 full-time equivalent employees,Final
2010,Female,Total,Total,Total,Total,Total,Total,Total,Total,73,Incidence rate per 1000 full-time equivalent employees,Final
2011,Female,Total,Total,Total,Total,Total,Total,Total,Total,70,Incidence rate per 1000 full-time equivalent employees,Final
2012,Female,Total,Total,Total,Total,Total,Total,Total,Total,69,Incidence rate per 1000 full-time equivalent employees,Final
2013,Female,Total,Total,Total,Total,Total,Total,Total,Total,69,Incidence rate per 1000 full-time equivalent employees,Final
2014,Female,Total,Total,Total,Total,Total,Total,Total,Total,69,Incidence rate per 1000 full-time equivalent employees,Final
2015,Female,Total,Total,Total,Total,Total,Total,Total,Total,70,Incidence rate per 1000 full-time equivalent employees,Final
2016,Female,Total,Total,Total,Total,Total,Total,Total,Total,70,Incidence rate per 1000 full-time equivalent employees,Final
2017,Female,Total,Total,Total,Total,Total,Total,Total,Total,69,Incidence rate per 1000 full-time equivalent employees,Final
2018,Female,Total,Total,Total,Total,Total,Total,Total,Total,69,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,15–24,Total,Total,Total,Total,Total,Total,Total,186,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,15–24,Total,Total,Total,Total,Total,Total,Total,181,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,15–24,Total,Total,Total,Total,Total,Total,Total,182,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,15–24,Total,Total,Total,Total,Total,Total,Total,184,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,15–24,Total,Total,Total,Total,Total,Total,Total,169,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,15–24,Total,Total,Total,Total,Total,Total,Total,172,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,15–24,Total,Total,Total,Total,Total,Total,Total,167,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,15–24,Total,Total,Total,Total,Total,Total,Total,150,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,15–24,Total,Total,Total,Total,Total,Total,Total,153,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,15–24,Total,Total,Total,Total,Total,Total,Total,146,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,15–24,Total,Total,Total,Total,Total,Total,Total,147,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,15–24,Total,Total,Total,Total,Total,Total,Total,147,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,15–24,Total,Total,Total,Total,Total,Total,Total,147,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,15–24,Total,Total,Total,Total,Total,Total,Total,139,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,15–24,Total,Total,Total,Total,Total,Total,Total,134,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,15–24,Total,Total,Total,Total,Total,Total,Total,134,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,15–24,Total,Total,Total,Total,Total,Total,Total,131,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,25–34 ,Total,Total,Total,Total,Total,Total,Total,156,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,25–34 ,Total,Total,Total,Total,Total,Total,Total,149,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,25–34,Total,Total,Total,Total,Total,Total,Total,143,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,25–34,Total,Total,Total,Total,Total,Total,Total,137,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,25–34,Total,Total,Total,Total,Total,Total,Total,128,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,25–34,Total,Total,Total,Total,Total,Total,Total,126,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,25–34,Total,Total,Total,Total,Total,Total,Total,118,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,25–34,Total,Total,Total,Total,Total,Total,Total,112,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,25–34,Total,Total,Total,Total,Total,Total,Total,111,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,25–34,Total,Total,Total,Total,Total,Total,Total,104,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,25–34,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,25–34,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,25–34,Total,Total,Total,Total,Total,Total,Total,107,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,25–34,Total,Total,Total,Total,Total,Total,Total,107,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,25–34,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,25–34,Total,Total,Total,Total,Total,Total,Total,100,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,25–34,Total,Total,Total,Total,Total,Total,Total,99,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,35–44,Total,Total,Total,Total,Total,Total,Total,149,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,35–44,Total,Total,Total,Total,Total,Total,Total,143,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,35–44,Total,Total,Total,Total,Total,Total,Total,140,Incidence rate per 1000 full-time equivalent employees,Final
2005,Total,35–44,Total,Total,Total,Total,Total,Total,Total,135,Incidence rate per 1000 full-time equivalent employees,Final
2006,Total,35–44,Total,Total,Total,Total,Total,Total,Total,128,Incidence rate per 1000 full-time equivalent employees,Final
2007,Total,35–44,Total,Total,Total,Total,Total,Total,Total,124,Incidence rate per 1000 full-time equivalent employees,Final
2008,Total,35–44,Total,Total,Total,Total,Total,Total,Total,118,Incidence rate per 1000 full-time equivalent employees,Final
2009,Total,35–44,Total,Total,Total,Total,Total,Total,Total,109,Incidence rate per 1000 full-time equivalent employees,Final
2010,Total,35–44,Total,Total,Total,Total,Total,Total,Total,105,Incidence rate per 1000 full-time equivalent employees,Final
2011,Total,35–44,Total,Total,Total,Total,Total,Total,Total,103,Incidence rate per 1000 full-time equivalent employees,Final
2012,Total,35–44,Total,Total,Total,Total,Total,Total,Total,98,Incidence rate per 1000 full-time equivalent employees,Final
2013,Total,35–44,Total,Total,Total,Total,Total,Total,Total,97,Incidence rate per 1000 full-time equivalent employees,Final
2014,Total,35–44,Total,Total,Total,Total,Total,Total,Total,95,Incidence rate per 1000 full-time equivalent employees,Final
2015,Total,35–44,Total,Total,Total,Total,Total,Total,Total,93,Incidence rate per 1000 full-time equivalent employees,Final
2016,Total,35–44,Total,Total,Total,Total,Total,Total,Total,91,Incidence rate per 1000 full-time equivalent employees,Final
2017,Total,35–44,Total,Total,Total,Total,Total,Total,Total,89,Incidence rate per 1000 full-time equivalent employees,Final
2018,Total,35–44,Total,Total,Total,Total,Total,Total,Total,89,Incidence rate per 1000 full-time equivalent employees,Provisional
2002,Total,45–54,Total,Total,Total,Total,Total,Total,Total,138,Incidence rate per 1000 full-time equivalent employees,Final
2003,Total,45–54,Total,Total,Total,Total,Total,Total,Total,136,Incidence rate per 1000 full-time equivalent employees,Final
2004,Total,45–54,Total,Total,Total,Total,Total,Total,Total,132,Incidence rate per 1000 full-time equivalent employees,Final
